"","default","student","balance","income"
"1","No","No","729.52649520729","44361.625074267"
"2","No","Yes","817.1804065555","12106.134700315"
"3","No","No","1073.5491640117","31767.1389474"
"4","No","No","529.25060474528","35704.493935078"
"5","No","No","785.6558829305","38463.495878723"
"6","No","Yes","919.5885304745","7491.5585718275"
"7","No","No","825.5133305172","24905.226577523"
"8","No","Yes","808.66750429727","17600.451343587"
"9","No","No","1161.0578540313","37468.529287538"
"10","No","No","0","29275.268293168"
"11","No","Yes","0","21871.073089278"
"12","No","Yes","1220.5837530038","13268.562220926"
"13","No","No","237.04511397747","28251.695344963"
"14","No","No","606.74234330246","44994.555849217"
"15","No","No","1112.968400633","23810.174050036"
"16","No","No","286.23256013922","45042.413035886"
"17","No","No","0","50265.312353599"
"18","No","Yes","527.54018407457","17636.539617294"
"19","No","No","485.93686417173","61566.106117801"
"20","No","No","1095.0727352874","26464.631389229"
"21","No","No","228.95254964257","50500.182197744"
"22","No","No","954.26179277355","32457.509075075"
"23","No","No","1055.956604729","51317.883082387"
"24","No","No","641.98438884802","30466.103257481"
"25","No","No","773.21172453418","34353.314305004"
"26","No","No","855.00852252569","25211.332161454"
"27","No","No","642.99973851543","41473.511801019"
"28","No","No","1454.863272484","32189.094952318"
"29","No","No","615.70427656041","39376.394618701"
"30","No","Yes","1119.5693533286","16556.070205351"
"31","No","No","494.81622880733","54384.782836139"
"32","No","Yes","448.88065625604","15799.470409796"
"33","No","Yes","584.90489468245","22429.935046217"
"34","No","No","913.58717260893","46907.225402862"
"35","No","Yes","1423.9389166409","22634.488087581"
"36","No","Yes","1499.7246565597","13190.65271641"
"37","No","No","692.03416706543","47806.611772896"
"38","No","No","351.45347152301","35087.488648086"
"39","No","No","742.6276207856","37864.823938895"
"40","No","No","653.11840012339","39489.594702861"
"41","No","No","872.13867953848","41787.567268901"
"42","No","No","837.26262275417","51471.772094638"
"43","No","No","1151.6305660827","42917.469563628"
"44","No","Yes","220.55560838644","16872.947555781"
"45","No","Yes","1690.234410387","19052.572224695"
"46","No","No","408.77291430519","54206.939212018"
"47","No","No","1238.6103212411","50066.680533654"
"48","No","No","1228.3083503534","37408.503868508"
"49","No","No","820.91920414618","47746.542073102"
"50","No","No","857.4851177765","31688.345973892"
"51","No","No","563.61817718236","42641.253266646"
"52","No","Yes","1282.9725335958","13120.636469603"
"53","No","Yes","1505.7826748288","26557.141445881"
"54","No","Yes","904.04025906681","16882.300605654"
"55","No","No","0","49956.580571906"
"56","No","Yes","1294.4973466731","10464.320731923"
"57","No","Yes","1275.5506327236","15887.468486777"
"58","No","No","1536.5946009725","48766.907457562"
